Password,Expected Strength,Score,Detected Strength,Feedback
igpjen,Very Weak,1,Weak,"Too short (min 8 characters recommended).; Add uppercase letters.; Add digits.; Add symbols (e.g., @, #, !)."
skidps,Very Weak,1,Weak,"Too short (min 8 characters recommended).; Add uppercase letters.; Add digits.; Add symbols (e.g., @, #, !)."
qefaxv,Very Weak,1,Weak,"Too short (min 8 characters recommended).; Add uppercase letters.; Add digits.; Add symbols (e.g., @, #, !)."
fbd0kwmp,Weak,3,Strong,"Add uppercase letters.; Add symbols (e.g., @, #, !)."
mcs1dwgb,Weak,3,Strong,"Add uppercase letters.; Add symbols (e.g., @, #, !)."
swhxr8l2,Weak,3,Strong,"Add uppercase letters.; Add symbols (e.g., @, #, !)."
ntwLjLZjbS,Moderate,3,Strong,"Add digits.; Add symbols (e.g., @, #, !)."
b5khYhSGEg,Moderate,4,Very Strong,"Add symbols (e.g., @, #, !)."
vnLP1d0475,Moderate,4,Very Strong,"Add symbols (e.g., @, #, !)."
pl(lw3fM!K;X,Strong,5,Excellent,
I{;($A*g`<SI,Strong,4,Very Strong,Add digits.
4)cjS</;+NaF,Strong,5,Excellent,
YLuvUwbz8\`dnePZ,Very Strong,5,Excellent,
\[%?7:^^TJ6^17|/,Very Strong,4,Very Strong,Add lowercase letters.
scq)H<__HSaSAij0,Very Strong,5,Excellent,
